tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,30s,121,105783,9714362.0,141462255.81901196,-144598628.00242212,286060883.8214342
101-1000,midday,30s,122,94792,8733259.0,139462731.82670748,27092960.930154655,112369770.89655283
101-1000,midday,30s,123,89408,7869034.0,90439243.45615518,-83432244.31211668,173871487.76827186
101-1000,midday,30s,124,85361,6985227.0,87470875.1065053,-64555324.7071105,152026199.8136158
101-1000,midday,30s,125,93812,8297881.0,97033588.89381841,-77367652.88263692,174401241.7764553
101-1000,midday,30s,126,84214,7216809.0,89139982.30264534,-90562474.10831103,179702456.41095638
101-1000,midday,30s,127,80529,6744802.0,77574922.53093822,-35704011.06108275,113278933.59202099
101-1000,midday,30s,128,77322,6959444.0,85747961.8739449,-56481723.68120501,142229685.5551499
101-1000,midday,30s,129,71621,5866287.0,83926471.08978972,-8163935.285360234,92090406.37514997
101-1000,midday,30s,130,77281,6665347.0,86570085.94453639,-59739961.9731656,146310047.91770196
101-1000,midday,30s,131,79268,7019111.0,488570572.9847496,-376664.58540440665,488947237.5701539
101-1000,midday,30s,132,87391,7789148.0,596195824.1008042,180345859.5841722,415849964.5166322
101-1000,midday,30s,133,69610,5964080.0,69266888.34579183,-41546055.146799386,110812943.49259122
101-1000,midday,30s,134,70261,5719860.0,62809260.83058596,-23737427.28916802,86546688.11975393
101-1000,midday,30s,135,64619,5305102.0,68042102.13538522,-52151737.19495185,120193839.33033705
101-1000,midday,30s,136,69599,6089907.0,67484354.9075597,-47958860.57726766,115443215.48482731
101-1000,midday,30s,137,74038,6544717.0,67775238.44584772,-77495917.27903898,145271155.7248867
101-1000,midday,30s,138,66884,5700214.0,57465855.71386359,-31774953.791554067,89240809.50541764
101-1000,midday,30s,139,64685,5779192.0,66312786.42479222,-51575564.498199806,117888350.92299199
101-1000,midday,30s,140,56509,4697759.0,48468229.63796437,-37741443.24329255,86209672.88125691
101-1000,midday,30s,141,53160,4623049.0,50466474.27442895,-21038494.316041417,71504968.59047036
101-1000,midday,30s,142,59341,4852134.0,47376206.45648073,-30639762.654909387,78015969.11139014
101-1000,midday,30s,143,53492,4593332.0,67329624.35025957,-29252261.87903835,96581886.2292979
101-1000,midday,30s,144,73128,5835997.0,53124964.73991758,-42078278.32242956,95203243.06234714
101-1000,midday,30s,145,55652,4541169.0,58315397.671322115,-38649967.83099068,96965365.5023128
101-1000,midday,30s,146,53768,4441188.0,43894860.4837744,-24409958.173337698,68304818.65711209
101-1000,midday,30s,147,53016,4225901.0,50351482.54537327,-27240678.334400766,77592160.87977405
101-1000,midday,30s,148,52533,4614332.0,57998862.424405344,-40982376.94100087,98981239.36540624
101-1000,midday,30s,149,53238,4374260.0,54341201.40120879,-27552515.866081715,81893717.2672905
101-1000,midday,30s,150,52035,4352313.0,45872506.941891305,-36292535.7546618,82165042.69655311
101-1000,midday,30s,151,48041,4113074.0,55730238.627683535,-17952491.18831949,73682729.81600301
101-1000,midday,30s,152,50554,4264606.0,44950009.9494597,-18644090.372494068,63594100.321953766
101-1000,midday,30s,153,46400,3664038.0,43887915.02783793,-49517517.22404164,93405432.25187954
101-1000,midday,30s,154,53015,4133181.0,39825622.16462019,-19129432.36780515,58955054.532425344
101-1000,midday,30s,155,78030,7089884.0,62479144.32242073,-50021692.44390622,112500836.76632695
101-1000,midday,30s,156,62982,5174194.0,57511402.11930697,-33053652.378685188,90565054.49799214
101-1000,midday,30s,157,56702,4792467.0,57795332.73892284,-43741100.37244721,101536433.11136997
101-1000,midday,30s,158,55152,4790243.0,59893024.44674949,-28459729.582652204,88352754.02940167
101-1000,midday,30s,159,55149,4661654.0,61349977.84210307,-50446047.54072152,111796025.3828246
101-1000,midday,30s,160,45459,3840957.0,55316081.036559686,-49861671.01977971,105177752.05633938
101-1000,midday,30s,161,52091,4381750.0,58993081.37426173,-36151486.601309024,95144567.97557075
101-1000,midday,30s,162,54509,5116129.0,106673960.37385069,-41637585.18781909,148311545.56166974
101-1000,midday,30s,163,53790,4880944.0,58780511.99346053,-39855878.85793922,98636390.85139975
101-1000,midday,30s,164,46887,3961122.0,45721526.194723986,-21097142.476719394,66818668.67144338
101-1000,midday,30s,165,44942,3871526.0,46994910.84742858,-17095042.74648478,64089953.593913354
101-1000,midday,30s,166,47211,3875145.0,49005076.03905272,-11163211.018404067,60168287.05745678
101-1000,midday,30s,167,63313,5578822.0,64857745.493459545,-41189982.13439162,106047727.62785116
101-1000,midday,30s,168,62597,5505926.0,65104379.54636594,-93521292.0822141,158625671.62858003
101-1000,midday,30s,169,51654,4147218.0,45067136.718842566,-19795599.536555577,64862736.255398154
